epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.237,1.557,5.67543,1.70418,0.64281,0.295,0.31146,0.21811,1.96215,7.503,2.26002,0.000331439,0.000331439,0.0671875
2,205.262,1.52673,4.37286,1.67715,0.42297,0.34038,0.33695,0.19237,1.91525,5.85946,2.1602,0.000664484,0.000664484,0.0341872
3,300.434,1.55812,4.35395,1.70074,0.43993,0.45204,0.42761,0.27426,1.70929,5.03115,1.93784,0.000996373,0.000996373,0.00118577
4,395.585,1.52037,4.12254,1.67273,0.54587,0.44918,0.43272,0.29444,1.73786,4.58661,1.87251,0.000996097,0.000996097,0.000996097
5,491.399,1.49915,4.05257,1.65441,0.51488,0.49203,0.48986,0.34503,1.61959,4.7299,1.81509,0.000993068,0.000993068,0.000993068
6,587.807,1.44286,3.82583,1.60021,0.69717,0.48786,0.52363,0.36753,1.5872,4.24974,1.72308,0.000989183,0.000989183,0.000989183
7,683.265,1.40784,3.66192,1.57065,0.47775,0.52103,0.5094,0.36058,1.60095,4.15401,1.76066,0.000984449,0.000984449,0.000984449
8,777.433,1.3765,3.58159,1.54207,0.54094,0.53516,0.55755,0.40728,1.48417,3.88579,1.64575,0.000978873,0.000978873,0.000978873
9,872.44,1.34873,3.49104,1.5392,0.60818,0.542,0.55581,0.39823,1.56482,3.91325,1.69128,0.000972466,0.000972466,0.000972466
10,967.614,1.35075,3.41028,1.52198,0.62202,0.52998,0.55892,0.40794,1.5341,3.74873,1.70676,0.000965239,0.000965239,0.000965239
11,1062.38,1.30998,3.30169,1.49571,0.60918,0.56992,0.58208,0.44117,1.44591,3.61061,1.61187,0.000957205,0.000957205,0.000957205
12,1157.77,1.2955,3.23485,1.47612,0.61803,0.57004,0.59364,0.44075,1.41575,3.55226,1.57135,0.000948377,0.000948377,0.000948377
